GEOID,district,longitude,latitude,elevation,updated,name,ownership,built,type,doctors,nurses,nurses2,pcns,ehts,pharmacists,labtechs,beds,maternal,general,cathmentpo,distneares,has_community,has_community2,water_pipe,water_run,electric,electric2,distnear2,sanitation,sanitation2,sanitation3,security,security2,tar_road,gravel_road,incinerator,autoway,dental,comments,type_edite
32,Masvingo,30.471860885600002,-20.03367,0,1998,Bere,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
33,Chivi,30.589609146099999,-20.63389,0,1998,Berejena,3,0,Mission Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
34,Mutare,32.4892807007,-19.25094,0,1998,Berzerly Bridge,5,0,clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
35,Buhera,32.001220703100003,-19.37372,0,1998,Betera,6,0,Rural Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
36,Maphisa,28.406139373799999,-21.48506,0,1998,Beula,6,0,Rural Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
37,Umguza,28.801670074499999,-20.01194,0,1998,Bhekeni,6,0,Rural Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
38,Chegutu,30.434169769299999,-18.03611,0,1998,BHP,7,0,Private Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
39,Tsholotsho,27.811939239499999,-20.1,0,1998,Bubude,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
40,Bikita,31.606470108,-20.06703,0,1998,Bikita,4,0,Rural Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
41,Bindura,31.328769683800001,-17.29005,0,1998,Bindura,1,0,Provincial Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
42,Bindura,31.331979751599999,-17.30967,0,1998,Bindura Polyclinic,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
43,Binga,27.326669693,-17.63944,0,1998,Binga,2,0,District Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
44,Makoni,32.388938903800003,-18.22244,0,1998,Bingaguru,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
45,Buhera,32.338531494100003,-19.97181,0,1998,Birchenough,4,0,Rural Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
46,Chimanimani,32.673439025900002,-19.79031,0,1998,Biriwiri,3,0,Mission Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
47,Gwanda,28.906139373799999,-20.87447,0,1998,Blanket Mine,7,0,Mine Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
48,Mutasa,32.60338974,-18.45428,0,1998,Bonda,3,0,Mission Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
49,Mberengwa,30.407140731799998,-20.87094,0,1998,Bonda,3,0,Mission Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
50,Masvingo,30.750560760500001,-20.28386,0,1998,Bondolfi,4,0,Rural Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
51,Marondara,31.340560913099999,-18.23686,0,1998,Border Church,6,0,Rural Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
52,Ump,31.976110458400001,-17.02083,0,1998,Borera,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
53,Marondara,31.541439056400002,-18.18464,0,1998,Borrandile,7,0,Private Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
54,Goromonzi,31.5530605316,-17.50075,0,1998,Bosha,6,0,Rural Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
55,Zaka,31.4073104858,-20.62272,0,1998,Bota,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
56,Bulilimamangwe,28.0330600739,-21.16944,0,1998,Brunapeg,3,0,Mission Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
57,Buhera,31.4359207153,-19.33897,0,1998,Buhera,4,0,Rural Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
58,Chimanimani,32.635810852100001,-19.65556,0,1998,Bumba,6,0,Rural Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
59,Kadoma,30.416669845600001,-18.59389,0,1998,Bumbe,6,0,Rural Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
60,Rushinga,32.067821502699999,-16.56635,0,1998,Bungwe,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
61,Mutare,32.806861877400003,-19.20719,0,1998,Burma Valley,5,0,clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
62,Kadoma,30.4905605316,-18.69722,0,1998,Bururu,5,0,Council Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
63,Gwanda,29.204469680799999,-21.46747,0,1998,Buvuma,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
64,Mt Darwin,31.787250518800001,-16.56939,0,1998,Bveke,8,0,New Not Open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
65,Guruve,30.585519790599999,-16.57822,0,1998,Bvochora,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
66,Zaka,31.4387207031,-20.10544,0,1998,Bvukururu,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
67,Mutare,32.8199386597,-19.05786,0,1998,Bvumba,7,0,Private Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
68,Chikomba,31.273889541599999,-19.13572,0,1998,Bvumbura,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
69,Mutare,32.435581207299997,-19.35569,0,1998,Bwizi,5,0,clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
70,Zvimba,30.681110382100002,-17.27111,0,1998,Caesal,7,0,Mine Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
71,Chimanimani,32.788360595699999,-19.54161,0,1998,Cashel,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
72,Buhera,32.157810211200001,-19.78603,0,1998,Chabata,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
73,Mberengwa,30.239440918,-20.67058,0,1998,Chabwira,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
74,Centenary,31.202169418299999,-16.167,0,1998,Chadereka,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
75,Chirumanzu,30.6891403198,-19.53636,0,1998,Chaka,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
76,Kadoma,29.845279693599998,-18.07833,0,1998,Chakari,7,0,Private Mine Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
77,Chimanimani,32.517559051500001,-19.55397,0,1998,Chakohwa,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
78,Shamva,31.603359222400002,-17.02592,0,1998,Chakonda,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
79,Kariba,28.300279617299999,-16.84167,0,1998,Chalala,5,0,Council Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
80,Zvimba,30.379999160800001,-17.18056,0,1998,Chambadzi,7,0,Gold Mine Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
81,Chikomba,31.0046405792,-18.86886,0,1998,Chambara,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
82,Chiredzi,31.804889679,-21.25369,0,1998,Chambuta,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
83,Beitbridge,29.601940155000001,-21.60719,0,1998,Chamunangana,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
84,Chimanimani,32.4725608826,-19.93394,0,1998,Changazi,6,0,Rural Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
85,Buhera,32.168941497799999,-19.68356,0,1998,Chapanduka,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
86,Guruve,30.397630691500002,-15.70058,0,1998,Chapoto,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
87,Buhera,31.352439880399999,-19.17197,0,1998,Chapwanya,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
88,Seke,31.336439132700001,-18.17086,0,1998,Charakupa,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
89,Kariba,28.963609695399999,-16.55167,0,1998,Charara,7,0,Farm Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
90,Mutoko,32.153610229500003,-17.17356,0,1998,Charewa,6,0,Rural Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
91,Chimanimani,32.806751251199998,-19.83536,0,1998,Charter,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
92,Masvingo,30.856389999400001,-20.29011,0,1998,Charumbira,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
93,Beitbridge,30.501140594500001,-22.05558,0,1998,Chasvingo,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
94,Masvingo,31.154140472400002,-20.43461,0,1998,Chatikobo,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
95,Mutasa,33.003219604500003,-18.23625,0,1998,Chavhanga,6,0,Rural Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
96,Mt Darwin,31.670150756799998,-16.61703,0,1998,Chawanda,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
97,Centenary,31.110170364399998,-16.5185,0,1998,Chawarura,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
98,Chimanimani,32.554561614999997,-19.66983,0,1998,Chayamiti,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
99,Chipinge,32.6100006104,-20.03722,0,1998,Checheche,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
100,Mberengwa,29.907560348499999,-20.73936,0,1998,Chedembeko,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
101,Chegutu,30.149440765400001,-18.12861,0,1998,Chegutu,2,0,District Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
102,Kadoma,29.754999160800001,-17.92028,0,1998,Chegutu 6,8,0,(New Site),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"New"
103,Chegutu,30.145559310900001,-18.13611,0,1998,Chegutu DC,5,0,Council Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
104,Chegutu,30.1419391632,-18.12083,0,1998,Chegutu Urban,5,0,Municipality-clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
105,Gokwe,29.112779617299999,-18.21611,0,1998,Chemahuro,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
106,Chirumanzu,30.553220748899999,-19.80483,0,1998,Chengwena,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
107,Kadoma,29.409439086900001,-17.86083,0,1998,Chenjiri,5,0,Council Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
108,Gutu,31.8850803375,-19.80603,0,1998,Chepiri,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
109,Mutare,32.337390899699997,-19.61906,0,1998,Chiadzwa,6,0,Rural Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
110,Chegutu,30.661390304600001,-18.09583,0,1998,Chibero,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
111,Chipinge,32.300830841100002,-20.46417,0,1998,Chibuwe,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
112,Hurungwe,29.191940307599999,-17.14833,0,1998,Chidamoyo,3,0,Mission Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
113,Shamva,31.566860199000001,-17.08352,0,1998,Chidembo,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
114,Guruve,31.056169509899998,-16.02513,0,1998,Chidodo,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
115,Makoni,31.934749603299998,-18.82058,0,1998,Chiduku,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
116,Mberengwa,29.6872196198,-20.91722,0,1998,Chiedza,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
117,Chivi,30.5581092834,-20.45081,0,1998,Chifedza,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
118,Hwedza,31.719720840499999,-18.85983,0,1998,Chigondo,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
119,Chivi,30.200469970699999,-20.15394,0,1998,Chigwikwi,6,0,Rural Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
120,Shamva,31.550519943200001,-16.87733,0,1998,Chihuri,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
121,Guruve,30.560880661,-16.00798,0,1998,Chikafa,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
122,Mutare,32.641078948999997,-18.96889,0,1998,Chikanga,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
123,Hurungwe,29.697780609100001,-16.80722,0,1998,Chikanziwe,5,0,Council Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
124,Chegutu,30.7000007629,-18.47028,0,1998,Chikara,5,0,Council Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
125,Shurugwi,30.302530288700002,-19.81733,0,1998,Chikato,6,0,Rural Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
126,Makoni,32.156719207800002,-18.90203,0,1998,Chikobvore,6,0,Rural Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
127,Chiredzi,31.339309692400001,-21.67494,0,1998,Chikombedzi,4,0,Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
